userid	genesymbol	genename	entrezgene
ENSDARG00000040971	zgc:92606	zgc:92606	100000242
ENSDARG00000069527	ube2g1b	ubiquitin-conjugating enzyme E2G 1b (UBC7 homolog, yeast)	100000479
ENSDARG00000053496	gemin8	gem (nuclear organelle) associated protein 8	100000842
ENSDARG00000089232	prr14	proline rich 14	100001119
ENSDARG00000058561	fbxo30a	F-box protein 30a	100001417
ENSDARG00000060306	tfcp2	transcription factor CP2	100001906
ENSDARG00000043179	bag4	BCL2-associated athanogene 4	100001980
ENSDARG00000028354	stxbp6l	syntaxin binding protein 6 (amisyn), like	100002110
ENSDARG00000062053	kif1bp	kif1 binding protein	100002194
ENSDARG00000086332	bri3	brain protein I3	100002236
ENSDARG00000102858	sc:d189	sc:d189	100002334
ENSDARG00000099385	si: ch211-223l2.4	si: ch211-223l2.4	100002400
ENSDARG00000069608	zmp:0000000722	zmp:0000000722	100002543
ENSDARG00000028228	zbtb18	zinc finger and BTB domain containing 18	100003157
ENSDARG00000105575	si:dkey-6n21.12	si:dkey-6n21.12	100003436
ENSDARG00000069422	nhp2	NHP2 ribonucleoprotein homolog (yeast)	100003787
ENSDARG00000027187	kat8	K(lysine) acetyltransferase 8	100003790
ENSDARG00000069286	ndufaf2	NADH dehydrogenase (ubiquinone) complex I, assembly factor 2	100003850
ENSDARG00000041140	ddb2	damage-specific DNA binding protein 2	100004133
ENSDARG00000038587	LOC100004199	uncharacterized LOC100004199	100004199
ENSDARG00000037283	plrg1	pleiotropic regulator 1	100004402
ENSDARG00000055163	epoa	erythropoietin a	100004455
ENSDARG00000069603	taok1a	TAO kinase 1a	100004576
ENSDARG00000086670	ice2	interactor of little elongator complex ELL subunit 2	100005372
ENSDARG00000078814	si:dkey-34m19.3	si:dkey-34m19.3	100005466
ENSDARG00000090986	si:dkeyp-115e12.6	si:dkeyp-115e12.6	100005596
ENSDARG00000006074	uck2a	uridine-cytidine kinase 2a	100005763
ENSDARG00000102228	si:dkey-171c9.3	si:dkey-171c9.3	100005938
ENSDARG00000023309	spryd4	SPRY domain containing 4	100005939
ENSDARG00000077515	letm2	leucine zipper-EF-hand containing transmembrane protein 2	100006201
ENSDARG00000077461	dhx32a	DEAH (Asp-Glu-Ala-His) box polypeptide 32a	100006246
ENSDARG00000059483	tead1b	TEA domain family member 1b	100006454
ENSDARG00000076221	zgc:198419	zgc:198419	100006523
ENSDARG00000045150	csnk1e	casein kinase 1, epsilon	100006858
ENSDARG00000079202	parp2	poly (ADP-ribose) polymerase 2	100007906
ENSDARG00000075161	defbl1	defensin, beta-like 1	100009619
ENSDARG00000071589	si:dkey-253d23.2	si:dkey-253d23.2	100034432
ENSDARG00000071468	mrpl54	mitochondrial ribosomal protein L54	100034614
ENSDARG00000060023	ncapg2	non-SMC condensin II complex, subunit G2	100037337
ENSDARG00000017653	rgs13	regulator of G-protein signaling 13	100037359
ENSDARG00000079571	zgc:162161	zgc:162161	100037368
