userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000092421	SEMA6A	semaphorin 6A	57556	https://www.ncbi.nlm.nih.gov/gene/?term=57556
ENSG00000184486	POU3F2	POU class 3 homeobox 2	5454	https://www.ncbi.nlm.nih.gov/gene/?term=5454
ENSG00000124479	NDP	NDP, norrin cystine knot growth factor	4693	https://www.ncbi.nlm.nih.gov/gene/?term=4693
ENSG00000144857	BOC	BOC cell adhesion associated, oncogene regulated	91653	https://www.ncbi.nlm.nih.gov/gene/?term=91653
ENSG00000134376	CRB1	crumbs cell polarity complex component 1	23418	https://www.ncbi.nlm.nih.gov/gene/?term=23418
ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4	5244	https://www.ncbi.nlm.nih.gov/gene/?term=5244
ENSG00000154553	PDLIM3	PDZ and LIM domain 3	27295	https://www.ncbi.nlm.nih.gov/gene/?term=27295
ENSG00000135596	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1	64780	https://www.ncbi.nlm.nih.gov/gene/?term=64780
ENSG00000152894	PTPRK	protein tyrosine phosphatase, receptor type K	5796	https://www.ncbi.nlm.nih.gov/gene/?term=5796
ENSG00000104447	TRPS1	transcriptional repressor GATA binding 1	7227	https://www.ncbi.nlm.nih.gov/gene/?term=7227
ENSG00000166265	CYYR1	cysteine and tyrosine rich 1	116159	https://www.ncbi.nlm.nih.gov/gene/?term=116159
ENSG00000124098	FAM210B	family with sequence similarity 210 member B	116151	https://www.ncbi.nlm.nih.gov/gene/?term=116151
ENSG00000135324	MRAP2	melanocortin 2 receptor accessory protein 2	112609	https://www.ncbi.nlm.nih.gov/gene/?term=112609
ENSG00000143344	RGL1	ral guanine nucleotide dissociation stimulator like 1	23179	https://www.ncbi.nlm.nih.gov/gene/?term=23179
ENSG00000064961	HMG20B	high mobility group 20B	10362	https://www.ncbi.nlm.nih.gov/gene/?term=10362
ENSG00000111087	GLI1	GLI family zinc finger 1	2735	https://www.ncbi.nlm.nih.gov/gene/?term=2735
ENSG00000185022	MAFF	MAF bZIP transcription factor F	23764	https://www.ncbi.nlm.nih.gov/gene/?term=23764
ENSG00000178445	GLDC	glycine decarboxylase	2731	https://www.ncbi.nlm.nih.gov/gene/?term=2731
ENSG00000109458	GAB1	GRB2 associated binding protein 1	2549	https://www.ncbi.nlm.nih.gov/gene/?term=2549
ENSG00000196935	SRGAP1	SLIT-ROBO Rho GTPase activating protein 1	57522	https://www.ncbi.nlm.nih.gov/gene/?term=57522
ENSG00000114790	ARHGEF26	Rho guanine nucleotide exchange factor 26	26084	https://www.ncbi.nlm.nih.gov/gene/?term=26084
ENSG00000168993	CPLX1	complexin 1	10815	https://www.ncbi.nlm.nih.gov/gene/?term=10815
ENSG00000105255	FSD1	fibronectin type III and SPRY domain containing 1	79187	https://www.ncbi.nlm.nih.gov/gene/?term=79187
ENSG00000185483	ROR1	receptor tyrosine kinase like orphan receptor 1	4919	https://www.ncbi.nlm.nih.gov/gene/?term=4919
ENSG00000173210	ABLIM3	actin binding LIM protein family member 3	22885	https://www.ncbi.nlm.nih.gov/gene/?term=22885
ENSG00000074211	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma	5522	https://www.ncbi.nlm.nih.gov/gene/?term=5522
ENSG00000104332	SFRP1	secreted frizzled related protein 1	6422	https://www.ncbi.nlm.nih.gov/gene/?term=6422
ENSG00000164604	GPR85	G protein-coupled receptor 85	54329	https://www.ncbi.nlm.nih.gov/gene/?term=54329
ENSG00000149289	ZC3H12C	zinc finger CCCH-type containing 12C	85463	https://www.ncbi.nlm.nih.gov/gene/?term=85463
ENSG00000158195	WASF2	WAS protein family member 2	10163	https://www.ncbi.nlm.nih.gov/gene/?term=10163
ENSG00000233639	PANTR1	POU3F3 adjacent non-coding transcript 1	100506421	https://www.ncbi.nlm.nih.gov/gene/?term=100506421
ENSG00000121210	TMEM131L	transmembrane 131 like	23240	https://www.ncbi.nlm.nih.gov/gene/?term=23240
ENSG00000136161	RCBTB2	RCC1 and BTB domain containing protein 2	1102	https://www.ncbi.nlm.nih.gov/gene/?term=1102
ENSG00000153790	C7orf31	chromosome 7 open reading frame 31	136895	https://www.ncbi.nlm.nih.gov/gene/?term=136895
ENSG00000140931	CMTM3	CKLF like MARVEL transmembrane domain containing 3	123920	https://www.ncbi.nlm.nih.gov/gene/?term=123920
ENSG00000074047	GLI2	GLI family zinc finger 2	2736	https://www.ncbi.nlm.nih.gov/gene/?term=2736
ENSG00000075142	SRI	sorcin	6717	https://www.ncbi.nlm.nih.gov/gene/?term=6717
ENSG00000206432	TMEM200C	transmembrane protein 200C	645369	https://www.ncbi.nlm.nih.gov/gene/?term=645369
ENSG00000135862	LAMC1	laminin subunit gamma 1	3915	https://www.ncbi.nlm.nih.gov/gene/?term=3915
ENSG00000185070	FLRT2	fibronectin leucine rich transmembrane protein 2	23768	https://www.ncbi.nlm.nih.gov/gene/?term=23768
ENSG00000121966	CXCR4	C-X-C motif chemokine receptor 4	7852	https://www.ncbi.nlm.nih.gov/gene/?term=7852
ENSG00000078699	CBFA2T2	CBFA2/RUNX1 translocation partner 2	9139	https://www.ncbi.nlm.nih.gov/gene/?term=9139
ENSG00000154721	JAM2	junctional adhesion molecule 2	58494	https://www.ncbi.nlm.nih.gov/gene/?term=58494
ENSG00000005059	MCUB	mitochondrial calcium uniporter dominant negative beta subunit	55013	https://www.ncbi.nlm.nih.gov/gene/?term=55013
ENSG00000124767	GLO1	glyoxalase I	2739	https://www.ncbi.nlm.nih.gov/gene/?term=2739
ENSG00000066735	KIF26A	kinesin family member 26A	26153	https://www.ncbi.nlm.nih.gov/gene/?term=26153
ENSG00000114126	TFDP2	transcription factor Dp-2	7029	https://www.ncbi.nlm.nih.gov/gene/?term=7029
ENSG00000164125	GASK1B	golgi associated kinase 1B	51313	https://www.ncbi.nlm.nih.gov/gene/?term=51313
ENSG00000124126	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	57580	https://www.ncbi.nlm.nih.gov/gene/?term=57580
ENSG00000079739	PGM1	phosphoglucomutase 1	5236	https://www.ncbi.nlm.nih.gov/gene/?term=5236
ENSG00000157045	NTAN1	N-terminal asparagine amidase	123803	https://www.ncbi.nlm.nih.gov/gene/?term=123803
ENSG00000111846	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group)	2651	https://www.ncbi.nlm.nih.gov/gene/?term=2651
ENSG00000128591	FLNC	filamin C	2318	https://www.ncbi.nlm.nih.gov/gene/?term=2318
ENSG00000184254	ALDH1A3	aldehyde dehydrogenase 1 family member A3	220	https://www.ncbi.nlm.nih.gov/gene/?term=220
ENSG00000164100	NDST3	N-deacetylase and N-sulfotransferase 3	9348	https://www.ncbi.nlm.nih.gov/gene/?term=9348
ENSG00000053702	NRIP2	nuclear receptor interacting protein 2	83714	https://www.ncbi.nlm.nih.gov/gene/?term=83714
ENSG00000166250	CLMP	CXADR like membrane protein	79827	https://www.ncbi.nlm.nih.gov/gene/?term=79827
ENSG00000162627	SNX7	sorting nexin 7	51375	https://www.ncbi.nlm.nih.gov/gene/?term=51375
ENSG00000183580	FBXL7	F-box and leucine rich repeat protein 7	23194	https://www.ncbi.nlm.nih.gov/gene/?term=23194
ENSG00000071967	CYBRD1	cytochrome b reductase 1	79901	https://www.ncbi.nlm.nih.gov/gene/?term=79901
ENSG00000134590	RTL8C	retrotransposon Gag like 8C	8933	https://www.ncbi.nlm.nih.gov/gene/?term=8933
ENSG00000116157	GPX7	glutathione peroxidase 7	2882	https://www.ncbi.nlm.nih.gov/gene/?term=2882
ENSG00000071564	TCF3	transcription factor 3	6929	https://www.ncbi.nlm.nih.gov/gene/?term=6929
ENSG00000157064	NMNAT2	nicotinamide nucleotide adenylyltransferase 2	23057	https://www.ncbi.nlm.nih.gov/gene/?term=23057
ENSG00000136859	ANGPTL2	angiopoietin like 2	23452	https://www.ncbi.nlm.nih.gov/gene/?term=23452
ENSG00000111341	MGP	matrix Gla protein	4256	https://www.ncbi.nlm.nih.gov/gene/?term=4256
ENSG00000248890	HHIP-AS1	HHIP antisense RNA 1	646576	https://www.ncbi.nlm.nih.gov/gene/?term=646576
ENSG00000118298	CA14	carbonic anhydrase 14	23632	https://www.ncbi.nlm.nih.gov/gene/?term=23632
ENSG00000155368	DBI	diazepam binding inhibitor, acyl-CoA binding protein	1622	https://www.ncbi.nlm.nih.gov/gene/?term=1622
ENSG00000104313	EYA1	EYA transcriptional coactivator and phosphatase 1	2138	https://www.ncbi.nlm.nih.gov/gene/?term=2138
ENSG00000064300	NGFR	nerve growth factor receptor	4804	https://www.ncbi.nlm.nih.gov/gene/?term=4804
ENSG00000092051	JPH4	junctophilin 4	84502	https://www.ncbi.nlm.nih.gov/gene/?term=84502
ENSG00000114251	WNT5A	Wnt family member 5A	7474	https://www.ncbi.nlm.nih.gov/gene/?term=7474
ENSG00000172461	FUT9	fucosyltransferase 9	10690	https://www.ncbi.nlm.nih.gov/gene/?term=10690
ENSG00000103260	METRN	meteorin, glial cell differentiation regulator	79006	https://www.ncbi.nlm.nih.gov/gene/?term=79006
ENSG00000101911	PRPS2	phosphoribosyl pyrophosphate synthetase 2	5634	https://www.ncbi.nlm.nih.gov/gene/?term=5634
ENSG00000114439	BBX	BBX, HMG-box containing	56987	https://www.ncbi.nlm.nih.gov/gene/?term=56987
ENSG00000183495	EP400	E1A binding protein p400	57634	https://www.ncbi.nlm.nih.gov/gene/?term=57634
ENSG00000153574	RPIA	ribose 5-phosphate isomerase A	22934	https://www.ncbi.nlm.nih.gov/gene/?term=22934
ENSG00000119042	SATB2	SATB homeobox 2	23314	https://www.ncbi.nlm.nih.gov/gene/?term=23314
ENSG00000155099	PIP4P2	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2	55529	https://www.ncbi.nlm.nih.gov/gene/?term=55529
