userid	genesymbol	genename	entrezgene
ENSDARG00000091513	si:dkey-22o12.2	si:dkey-22o12.2	100000151
ENSDARG00000040971	zgc:92606	zgc:92606	100000242
ENSDARG00000069527	ube2g1b	ubiquitin-conjugating enzyme E2G 1b (UBC7 homolog, yeast)	100000479
ENSDARG00000103101	si:ch211-235e9.6	si:ch211-235e9.6	100000992
ENSDARG00000089232	prr14	proline rich 14	100001119
ENSDARG00000060306	tfcp2	transcription factor CP2	100001906
ENSDARG00000062053	kif1bp	kif1 binding protein	100002194
ENSDARG00000086332	bri3	brain protein I3	100002236
ENSDARG00000069608	zmp:0000000722	zmp:0000000722	100002543
ENSDARG00000078691	NA	GRB10 interacting GYF protein 1	100002679
ENSDARG00000028228	zbtb18	zinc finger and BTB domain containing 18	100003157
ENSDARG00000105575	si:dkey-6n21.12	si:dkey-6n21.12	100003436
ENSDARG00000079463	man2b2	mannosidase, alpha, class 2B, member 2	100003570
ENSDARG00000027187	kat8	K(lysine) acetyltransferase 8	100003790
ENSDARG00000037966	thoc6	THO complex 6	100004014
ENSDARG00000054400	si:ch211-198n5.11	si:ch211-198n5.11	100004018
ENSDARG00000041140	ddb2	damage-specific DNA binding protein 2	100004133
ENSDARG00000038587	LOC100004199	uncharacterized LOC100004199	100004199
ENSDARG00000055163	epoa	erythropoietin a	100004455
ENSDARG00000069603	taok1a	TAO kinase 1a	100004576
ENSDARG00000078814	si:dkey-34m19.3	si:dkey-34m19.3	100005466
ENSDARG00000102228	si:dkey-171c9.3	si:dkey-171c9.3	100005938
ENSDARG00000077515	letm2	leucine zipper-EF-hand containing transmembrane protein 2	100006201
ENSDARG00000077461	dhx32a	DEAH (Asp-Glu-Ala-His) box polypeptide 32a	100006246
ENSDARG00000059483	tead1b	TEA domain family member 1b	100006454
ENSDARG00000076221	zgc:198419	zgc:198419	100006523
ENSDARG00000045150	csnk1e	casein kinase 1, epsilon	100006858
ENSDARG00000079202	parp2	poly (ADP-ribose) polymerase 2	100007906
ENSDARG00000075161	defbl1	defensin, beta-like 1	100009619
ENSDARG00000017423	patl1	protein associated with topoisomerase II homolog 1 (yeast)	100009659
ENSDARG00000071589	si:dkey-253d23.2	si:dkey-253d23.2	100034432
ENSDARG00000063219	ubap2l	ubiquitin associated protein 2-like	100034477
ENSDARG00000071468	mrpl54	mitochondrial ribosomal protein L54	100034614
ENSDARG00000060023	ncapg2	non-SMC condensin II complex, subunit G2	100037337
ENSDARG00000017653	rgs13	regulator of G-protein signaling 13	100037359
ENSDARG00000078585	mon1a	MON1 secretory trafficking family member A	100073333
ENSDARG00000056410	fdx1	ferredoxin 1	100126232
ENSDARG00000053456	zgc:172295	zgc:172295	100136866
ENSDARG00000103914	si:ch73-52e5.2	si:ch73-52e5.2	100142654
ENSDARG00000059360	srsf3b	serine/arginine-rich splicing factor 3b	100145909
ENSDARG00000000606	dnah7l	dynein, axonemal, heavy polypeptide 7 like	100148193
ENSDARG00000009390	npl	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	100148292
ENSDARG00000069397	zswim8	zinc finger, SWIM-type containing 8	100148379
ENSDARG00000042090	si:ch73-55i23.1	si:ch73-55i23.1	100148818
ENSDARG00000089463	dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58	100148871
