geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0022613	ribonucleoprotein complex biogenesis	http://amigo.geneontology.org/amigo/term/GO:0022613	138	40	17.1257941550191	2.3356581095118	1.03505716886332e-07	0.000161468918342678	58024;192331;286787;317678;321652;321718;323426;323464;325106;334362;336712;386850;387600;393282;393475;394040;402800;406275;406324;407690;415206;415229;431768;436807;442932;445028;445224;445387;447922;550234;554096;558395;566022;567715;568328;570205;570267;619204;777627;100009659	ENSDARG00000017423;ENSDARG00000011648;ENSDARG00000017696;ENSDARG00000055639;ENSDARG00000003287;ENSDARG00000011999;ENSDARG00000012495;ENSDARG00000015352;ENSDARG00000002720;ENSDARG00000059711;ENSDARG00000025581;ENSDARG00000020232;ENSDARG00000007092;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000035427;ENSDARG00000075380;ENSDARG00000053912;ENSDARG00000007216;ENSDARG00000055996;ENSDARG00000055903;ENSDARG00000043509;ENSDARG00000018658;ENSDARG00000044402;ENSDARG00000020595;ENSDARG00000019778;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000099667;ENSDARG00000028688;ENSDARG00000045565;ENSDARG00000078041;ENSDARG00000095750;ENSDARG00000077751;ENSDARG00000057929;ENSDARG00000063466;ENSDARG00000003217;ENSDARG00000040070;ENSDARG00000101622;ENSDARG00000063627
GO:0030218	erythrocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:0030218	40	17	4.96399830580263	3.42465870307167	1.75749112307777e-06	0.000519000872398756	30307;30332;30766;58040;58153;64607;84703;140621;280650;321575;326287;405889;415229;558368;571961;767678;100004455	ENSDARG00000055163;ENSDARG00000017905;ENSDARG00000029072;ENSDARG00000104808;ENSDARG00000095019;ENSDARG00000019930;ENSDARG00000053691;ENSDARG00000029019;ENSDARG00000041232;ENSDARG00000043509;ENSDARG00000044092;ENSDARG00000074533;ENSDARG00000030490;ENSDARG00000000241;ENSDARG00000038643;ENSDARG00000060316;ENSDARG00000012881
GO:0034101	erythrocyte homeostasis	http://amigo.geneontology.org/amigo/term/GO:0034101	40	17	4.96399830580263	3.42465870307167	1.75749112307777e-06	0.000519000872398756	30307;30332;30766;58040;58153;64607;84703;140621;280650;321575;326287;405889;415229;558368;571961;767678;100004455	ENSDARG00000055163;ENSDARG00000017905;ENSDARG00000029072;ENSDARG00000104808;ENSDARG00000095019;ENSDARG00000019930;ENSDARG00000053691;ENSDARG00000029019;ENSDARG00000041232;ENSDARG00000043509;ENSDARG00000044092;ENSDARG00000074533;ENSDARG00000030490;ENSDARG00000000241;ENSDARG00000038643;ENSDARG00000060316;ENSDARG00000012881
GO:1902600	hydrogen ion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:1902600	40	17	4.96399830580263	3.42465870307167	1.75749112307777e-06	0.000519000872398756	325402;326962;326977;336957;337583;393478;393675;394151;406599;436799;494577;554101;554135;559659;566723;569770;100150991	ENSDARG00000092677;ENSDARG00000036577;ENSDARG00000099663;ENSDARG00000011841;ENSDARG00000045514;ENSDARG00000076318;ENSDARG00000037860;ENSDARG00000098355;ENSDARG00000017775;ENSDARG00000014313;ENSDARG00000045543;ENSDARG00000038577;ENSDARG00000088383;ENSDARG00000070083;ENSDARG00000078113;ENSDARG00000059128;ENSDARG00000097209
GO:0046034	ATP metabolic process	http://amigo.geneontology.org/amigo/term/GO:0046034	53	20	6.57729775518848	3.04076244445875	2.06773856525899e-06	0.000519000872398756	322549;326977;336425;336957;337583;393675;393720;393829;394151;406496;406599;445129;445500;447836;554101;554135;559659;560753;566723;573021	ENSDARG00000071691;ENSDARG00000011841;ENSDARG00000011665;ENSDARG00000045514;ENSDARG00000076318;ENSDARG00000098355;ENSDARG00000013044;ENSDARG00000010113;ENSDARG00000017775;ENSDARG00000034470;ENSDARG00000014313;ENSDARG00000038608;ENSDARG00000030139;ENSDARG00000014179;ENSDARG00000088383;ENSDARG00000070083;ENSDARG00000078113;ENSDARG00000040988;ENSDARG00000059128;ENSDARG00000041314
GO:0048872	homeostasis of number of cells	http://amigo.geneontology.org/amigo/term/GO:0048872	49	19	6.08089792460822	3.12453855262241	2.31122559024577e-06	0.000519000872398756	30307;30332;30766;58040;58153;64607;84703;140621;280650;321575;326287;393100;405889;415229;558368;571961;767678;100004455;100034477	ENSDARG00000055163;ENSDARG00000063219;ENSDARG00000017905;ENSDARG00000029072;ENSDARG00000104808;ENSDARG00000095019;ENSDARG00000019930;ENSDARG00000053691;ENSDARG00000029019;ENSDARG00000043972;ENSDARG00000041232;ENSDARG00000043509;ENSDARG00000044092;ENSDARG00000074533;ENSDARG00000030490;ENSDARG00000000241;ENSDARG00000038643;ENSDARG00000060316;ENSDARG00000012881
GO:0042254	ribosome biogenesis	http://amigo.geneontology.org/amigo/term/GO:0042254	101	30	12.5340957221516	2.39347142905417	2.42730274901959e-06	0.000519000872398756	286787;321652;321718;323426;323464;325106;334362;336712;386850;393282;394040;402800;406275;406324;407690;415229;436807;442932;445028;445224;445387;550234;554096;558395;566022;567715;568328;570267;619204;777627	ENSDARG00000017696;ENSDARG00000003287;ENSDARG00000011999;ENSDARG00000012495;ENSDARG00000015352;ENSDARG00000002720;ENSDARG00000059711;ENSDARG00000025581;ENSDARG00000020232;ENSDARG00000069878;ENSDARG00000035427;ENSDARG00000075380;ENSDARG00000053912;ENSDARG00000007216;ENSDARG00000055996;ENSDARG00000043509;ENSDARG00000044402;ENSDARG00000020595;ENSDARG00000019778;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000028688;ENSDARG00000045565;ENSDARG00000078041;ENSDARG00000095750;ENSDARG00000077751;ENSDARG00000057929;ENSDARG00000003217;ENSDARG00000101622;ENSDARG00000063627
GO:0002262	myeloid cell homeostasis	http://amigo.geneontology.org/amigo/term/GO:0002262	41	17	5.08809826344769	3.34113044202114	2.66154293537824e-06	0.000519000872398756	30307;30332;30766;58040;58153;64607;84703;140621;280650;321575;326287;405889;415229;558368;571961;767678;100004455	ENSDARG00000055163;ENSDARG00000017905;ENSDARG00000029072;ENSDARG00000104808;ENSDARG00000095019;ENSDARG00000019930;ENSDARG00000053691;ENSDARG00000029019;ENSDARG00000041232;ENSDARG00000043509;ENSDARG00000044092;ENSDARG00000074533;ENSDARG00000030490;ENSDARG00000000241;ENSDARG00000038643;ENSDARG00000060316;ENSDARG00000012881
GO:0006396	RNA processing	http://amigo.geneontology.org/amigo/term/GO:0006396	253	56	31.3972892842016	1.78359346544537	6.12447025849505e-06	0.000995301683881309	30471;58024;192325;192331;286774;286787;321220;321652;321718;321860;321994;322715;323426;325106;325550;327069;334362;337487;337866;386850;387600;393098;393229;393282;393475;394053;394074;402966;402989;406251;406275;406376;406824;407690;415206;415211;431768;442932;445028;445166;445224;445387;447922;449554;450021;550234;553505;554096;566022;567715;570205;572785;777627;795398;100004014;100006246	ENSDARG00000037966;ENSDARG00000077461;ENSDARG00000014898;ENSDARG00000011648;ENSDARG00000045155;ENSDARG00000017696;ENSDARG00000097478;ENSDARG00000031907;ENSDARG00000003287;ENSDARG00000011999;ENSDARG00000014244;ENSDARG00000020482;ENSDARG00000089260;ENSDARG00000012495;ENSDARG00000002720;ENSDARG00000006225;ENSDARG00000018618;ENSDARG00000059711;ENSDARG00000028976;ENSDARG00000006524;ENSDARG00000020232;ENSDARG00000007092;ENSDARG00000020986;ENSDARG00000079578;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000102978;ENSDARG00000035324;ENSDARG00000011125;ENSDARG00000011740;ENSDARG00000011613;ENSDARG00000053912;ENSDARG00000101047;ENSDARG00000103553;ENSDARG00000055996;ENSDARG00000055903;ENSDARG00000001241;ENSDARG00000018658;ENSDARG00000020595;ENSDARG00000019778;ENSDARG00000051851;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000099667;ENSDARG00000014746;ENSDARG00000070431;ENSDARG00000028688;ENSDARG00000040326;ENSDARG00000045565;ENSDARG00000095750;ENSDARG00000077751;ENSDARG00000063466;ENSDARG00000008188;ENSDARG00000040070;ENSDARG00000063627;ENSDARG00000004757
GO:0009126	purine nucleoside monophosphate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0009126	66	22	8.19059720457433	2.68600682593857	7.01815289916308e-06	0.000995301683881309	322549;326977;333997;336425;336957;337583;393559;393675;393720;393829;394151;406496;406599;445129;445500;447836;554101;554135;559659;560753;566723;573021	ENSDARG00000071691;ENSDARG00000011841;ENSDARG00000032469;ENSDARG00000011665;ENSDARG00000045514;ENSDARG00000076318;ENSDARG00000079848;ENSDARG00000098355;ENSDARG00000013044;ENSDARG00000010113;ENSDARG00000017775;ENSDARG00000034470;ENSDARG00000014313;ENSDARG00000038608;ENSDARG00000030139;ENSDARG00000014179;ENSDARG00000088383;ENSDARG00000070083;ENSDARG00000078113;ENSDARG00000040988;ENSDARG00000059128;ENSDARG00000041314
